<<<<<<< HEAD
Date,Description,Amount,Type
2023-02-05,Swiggy 2568,3872.42,Credit
2022-10-07,Zomato 2994,3417.67,Debit
2024-04-16,Uber 7759,1579.64,Debit
2022-07-17,Salary 2147,3657.63,Credit
2023-02-07,Salary 9015,340.46,Credit
2023-05-26,Swiggy 5767,3112.52,Credit
2022-05-27,Uber 4094,2564.9,Debit
2024-05-13,Flipkart 6567,1242.28,Debit
2023-10-03,Electricity 1961,2603.2,Credit
2023-04-18,Zomato 2167,3010.09,Debit
2023-09-03,Amazon 6313,842.2,Credit
2023-09-16,Rent 5991,2122.14,Debit
2024-06-15,Flipkart 6318,86.87,Credit
2022-10-31,Uber 3772,2725.16,Credit
2022-06-09,Electricity 2013,1379.38,Debit
2022-01-09,Swiggy 4874,2697.99,Debit
2022-08-21,Electricity 5527,2454.48,Debit
2023-10-21,Zomato 4380,637.12,Debit
2022-06-01,Flipkart 9320,322.5,Debit
2023-09-20,Amazon 8683,2406.22,Credit
2022-04-14,Flipkart 6871,583.66,Credit
2024-05-10,Amazon 9201,4463.74,Debit
2022-12-04,Zomato 6349,4001.32,Debit
2022-02-02,Amazon 7866,4876.89,Credit
2023-11-19,Gym 5052,3021.63,Debit
2023-04-05,Rent 3164,3573.2,Credit
2023-04-15,Flipkart 6645,1878.79,Debit
2022-02-07,Zomato 5297,2455.62,Debit
2023-10-21,Swiggy 3993,1085.26,Debit
2023-07-01,Electricity 9988,15.13,Debit
2023-01-08,Amazon 2900,1818.16,Credit
2023-05-12,Amazon 1941,3591.41,Credit
2022-10-29,Uber 1198,4878.33,Credit
2022-04-09,Uber 7176,1771.76,Debit
2022-09-10,Salary 5807,3955.72,Credit
2022-11-19,Flipkart 9359,2361.39,Credit
2023-11-17,Salary 9576,841.01,Debit
2024-05-03,Flipkart 7845,3649.4,Credit
2022-06-25,Amazon 3243,372.89,Debit
2022-02-08,Zomato 6389,1989.69,Debit
2024-01-29,Rent 2614,101.55,Credit
2023-06-22,Flipkart 4398,2195.73,Debit
2023-06-09,Rent 4512,2039.27,Credit
2024-04-07,Swiggy 8326,35.29,Credit
2024-04-04,Flipkart 9529,3772.93,Debit
2023-11-16,Electricity 2630,2224.32,Debit
2023-02-04,Swiggy 4124,4177.23,Debit
2023-10-16,Rent 8763,2863.34,Debit
2023-04-16,Gym 5411,2957.88,Credit
2022-11-01,Gym 7551,4235.43,Debit
2023-07-26,Uber 7907,4837.63,Credit
2022-07-15,Rent 4688,923.96,Credit
2024-06-02,Salary 8566,1873.02,Debit
2023-10-18,Amazon 6692,3750.17,Credit
2022-04-16,Gym 2996,3733.16,Debit
2023-10-19,Flipkart 3436,1654.71,Debit
2022-02-27,Zomato 3751,1651.37,Debit
2023-01-28,Gym 2397,3039.2,Credit
2024-03-12,Swiggy 6727,291.0,Credit
2023-07-14,Salary 5947,4161.53,Credit
2023-08-24,Swiggy 8337,2047.35,Debit
2024-06-15,Amazon 6971,1143.66,Credit
2022-09-29,Flipkart 7976,1911.71,Debit
2024-05-10,Rent 4372,2190.0,Debit
2022-09-04,Amazon 9738,4451.32,Credit
2023-10-18,Rent 5054,4862.88,Credit
2023-04-19,Swiggy 2032,1722.73,Debit
2023-03-08,Gym 4601,1527.0,Credit
2022-09-11,Zomato 3207,1388.64,Credit
2022-04-10,Zomato 5651,4984.75,Credit
2023-10-21,Gym 3625,4625.64,Debit
2023-08-31,Swiggy 5154,3028.7,Debit
2024-02-08,Rent 5557,4034.75,Credit
2022-09-15,Electricity 1085,3527.52,Credit
2023-10-26,Rent 8523,4223.01,Credit
2023-11-06,Uber 8860,428.5,Credit
2023-11-22,Electricity 8286,336.03,Debit
2022-06-17,Amazon 2511,4441.14,Credit
2022-02-12,Zomato 5364,3863.33,Debit
2023-05-14,Electricity 1684,2814.12,Credit
2024-04-28,Flipkart 7325,3651.65,Credit
2022-03-31,Uber 8541,2413.79,Credit
2023-11-07,Uber 5052,4259.38,Credit
2023-04-02,Electricity 2619,1082.87,Credit
2022-07-11,Amazon 7046,2583.33,Credit
2022-10-06,Rent 7061,269.67,Debit
2022-09-30,Rent 9743,1511.99,Credit
2024-05-30,Swiggy 7674,2532.57,Debit
2022-03-03,Uber 4333,779.08,Credit
2023-08-19,Flipkart 1027,1464.75,Debit
2023-01-31,Flipkart 7242,4048.81,Credit
2022-09-22,Uber 1807,3791.21,Debit
2023-07-18,Zomato 3690,246.29,Debit
2023-07-23,Amazon 7348,1910.22,Credit
2022-05-13,Amazon 9887,3866.23,Debit
2024-01-21,Salary 7946,1703.59,Debit
2022-06-19,Amazon 8379,2937.81,Credit
2023-01-28,Amazon 6833,3867.74,Credit
2022-12-05,Amazon 9979,1343.56,Credit
2024-04-12,Rent 3907,2350.68,Debit
2023-05-15,Uber 9858,2472.96,Debit
2022-05-12,Gym 6267,1130.16,Debit
2022-06-16,Rent 1984,3872.78,Credit
2024-05-07,Uber 5238,3186.36,Credit
2024-01-24,Swiggy 4108,2250.48,Credit
2022-02-27,Uber 6937,2503.33,Debit
2023-10-22,Zomato 8383,4076.34,Debit
2023-04-01,Salary 2679,2895.22,Credit
2022-01-01,Amazon 5040,2853.24,Debit
2022-07-10,Swiggy 3291,4786.32,Debit
2024-06-04,Zomato 1616,3623.21,Debit
2023-10-21,Rent 3096,2700.42,Credit
2022-08-21,Flipkart 6309,1046.9,Credit
2022-11-01,Gym 8805,789.34,Credit
2022-01-12,Amazon 9866,93.95,Credit
2022-12-14,Flipkart 4388,2151.18,Credit
2022-03-31,Zomato 3977,1110.42,Credit
2023-12-25,Amazon 4803,4288.04,Debit
2023-12-10,Uber 5071,3143.92,Debit
2022-08-30,Swiggy 9090,2486.86,Credit
2022-09-08,Salary 9590,1070.43,Debit
2023-01-09,Salary 5613,4488.13,Debit
2024-02-18,Flipkart 4035,3677.24,Debit
2024-05-02,Electricity 6833,1246.6,Credit
2022-08-05,Flipkart 5202,4235.34,Debit
2023-11-20,Uber 1532,764.92,Credit
2022-04-15,Zomato 4861,1819.13,Debit
2023-05-26,Flipkart 8754,68.16,Debit
2023-06-02,Zomato 7663,1002.33,Debit
2023-04-21,Rent 4183,1891.44,Credit
2023-03-13,Flipkart 6388,672.22,Credit
2024-02-11,Rent 2807,4389.47,Debit
2024-02-10,Amazon 8587,1093.26,Credit
2022-02-23,Amazon 8089,2025.12,Credit
2022-08-24,Uber 5402,2772.78,Debit
2023-01-24,Amazon 4790,3210.8,Credit
2024-04-04,Rent 1248,3624.86,Debit
2022-08-17,Zomato 8643,1414.61,Debit
2023-03-11,Salary 1788,692.37,Debit
2022-04-13,Electricity 5215,1061.49,Debit
2024-01-08,Flipkart 9923,1461.01,Credit
2022-11-02,Gym 4414,4889.95,Credit
2022-12-01,Electricity 8687,1948.81,Credit
2024-05-08,Zomato 8040,885.04,Debit
2022-09-06,Rent 1887,4055.98,Debit
2023-07-17,Zomato 9652,4099.92,Debit
2022-07-03,Gym 4022,2501.2,Debit
2023-05-23,Zomato 6723,2143.38,Debit
2022-07-24,Amazon 8170,373.73,Debit
2022-05-06,Rent 2065,2791.26,Credit
2024-01-22,Swiggy 5836,3191.07,Credit
2024-01-31,Gym 5319,4755.27,Debit
2022-04-05,Amazon 9073,1628.93,Debit
2024-06-18,Electricity 3671,4928.25,Credit
2022-10-08,Amazon 2214,2071.07,Debit
2022-07-14,Swiggy 7522,555.03,Credit
2024-04-08,Rent 9908,4046.52,Credit
2023-10-07,Zomato 9548,4231.71,Credit
2022-08-21,Salary 6618,4898.89,Debit
2023-12-31,Gym 7939,2697.98,Debit
2024-03-23,Uber 7766,3810.72,Credit
2024-03-04,Gym 5716,439.41,Credit
2022-05-01,Zomato 6087,1989.37,Debit
2022-08-27,Flipkart 8893,4431.85,Credit
2022-12-16,Uber 1574,4104.38,Credit
2022-04-17,Rent 4207,1483.56,Debit
2024-04-10,Electricity 8980,2193.94,Credit
2022-02-17,Uber 3803,879.83,Credit
2023-07-27,Salary 7269,2867.1,Debit
2022-12-03,Amazon 7390,3699.92,Debit
2022-09-14,Gym 5058,4298.27,Debit
2024-05-16,Salary 3802,3238.62,Credit
2022-09-10,Uber 4441,4039.29,Debit
2023-06-10,Amazon 7168,3537.85,Debit
2023-05-21,Salary 2661,4490.57,Credit
2024-03-16,Electricity 9958,4172.46,Credit
2022-07-11,Swiggy 7840,2867.71,Credit
2022-02-08,Rent 6826,388.03,Debit
2022-03-27,Amazon 6200,4377.41,Debit
2022-05-25,Zomato 3882,4875.4,Credit
2023-06-09,Salary 5984,316.18,Credit
2022-01-25,Amazon 4150,2009.22,Credit
2022-02-03,Amazon 8352,3077.59,Credit
2023-09-05,Rent 4201,2689.67,Credit
2023-11-23,Uber 3927,2816.23,Credit
2022-11-16,Swiggy 1556,1127.31,Credit
2024-01-08,Uber 3321,1111.37,Credit
2024-05-26,Swiggy 6099,3405.89,Credit
2022-10-16,Uber 7453,3808.97,Credit
2022-10-04,Flipkart 6454,3950.76,Debit
2023-12-11,Flipkart 6230,3208.02,Debit
2023-05-18,Zomato 9083,2577.23,Credit
2023-05-31,Rent 5763,1179.53,Credit
2023-10-26,Rent 6924,4356.94,Debit
2024-04-02,Electricity 3228,1718.04,Debit
2022-01-06,Electricity 8098,4020.33,Credit
2024-01-02,Flipkart 3058,384.73,Credit
2023-07-28,Salary 8422,4661.95,Debit
2022-07-13,Uber 8364,4664.25,Credit
2024-04-26,Electricity 3371,3180.34,Credit
2023-12-16,Zomato 4682,759.82,Credit
2023-03-11,Uber 9578,1026.9,Credit
2023-10-07,Flipkart 7226,1381.54,Credit
2022-11-22,Rent 3504,4782.56,Debit
2022-08-13,Salary 6370,3655.87,Credit
2023-06-16,Swiggy 3715,3890.77,Credit
2022-05-19,Uber 1674,957.81,Debit
2024-05-17,Rent 7208,3495.8,Debit
2024-04-24,Uber 8090,4091.52,Debit
2023-11-04,Amazon 4959,3114.29,Credit
2023-11-21,Gym 2898,4031.16,Debit
2022-09-18,Swiggy 6675,3649.84,Debit
2023-10-04,Salary 1050,4319.88,Credit
2022-11-17,Electricity 3807,4382.2,Debit
2023-08-29,Gym 9139,3975.74,Credit
2022-04-05,Zomato 7209,4053.69,Credit
2022-11-14,Swiggy 4577,1130.94,Debit
2022-11-30,Electricity 5237,2492.85,Debit
2022-10-23,Uber 5710,2793.03,Credit
2022-09-27,Swiggy 1682,2964.25,Debit
2022-01-05,Salary 1137,3026.82,Debit
2023-07-28,Gym 2081,4977.9,Debit
2022-02-11,Swiggy 5507,1881.84,Credit
2024-04-19,Amazon 5224,1082.08,Credit
2023-11-22,Gym 4979,132.78,Credit
2023-10-27,Rent 5860,1701.6,Credit
2023-05-18,Rent 5137,3268.79,Credit
2023-10-08,Zomato 5373,1883.09,Debit
2022-06-28,Zomato 9711,30.57,Credit
2023-09-15,Zomato 5680,1574.57,Credit
2022-10-16,Salary 4906,1249.48,Credit
2023-04-23,Electricity 4688,1576.62,Credit
2023-08-21,Salary 4103,2079.2,Credit
2024-04-13,Zomato 5530,505.94,Credit
2022-08-04,Flipkart 3160,4497.18,Debit
2022-01-15,Gym 4543,1056.7,Debit
2022-06-06,Uber 8847,2028.63,Debit
2023-11-16,Flipkart 6024,866.64,Credit
2022-05-10,Flipkart 8977,4493.79,Debit
2023-02-15,Swiggy 5663,879.44,Credit
2023-10-22,Uber 5420,4945.73,Debit
2024-04-21,Swiggy 9255,2088.15,Debit
2024-03-25,Rent 1381,3725.18,Credit
2022-10-29,Rent 2556,2661.91,Debit
2023-09-15,Flipkart 4987,966.56,Credit
2024-03-15,Uber 6803,817.1,Credit
2022-05-07,Amazon 7657,4684.62,Debit
2022-04-16,Amazon 4866,2559.82,Debit
2023-08-27,Amazon 2489,3469.43,Debit
2023-01-13,Salary 4688,3360.44,Debit
2024-03-24,Rent 6912,1701.9,Debit
2023-09-05,Zomato 6501,524.63,Debit
2022-11-05,Amazon 4952,1729.93,Credit
2022-11-09,Gym 9551,3073.06,Credit
2023-07-29,Swiggy 1670,3858.61,Credit
2023-12-11,Uber 9320,3415.59,Credit
2023-05-16,Gym 6167,3062.65,Credit
2022-06-10,Salary 1929,4478.7,Credit
2022-03-04,Gym 5347,1953.42,Credit
2023-10-24,Salary 8156,4390.45,Credit
2024-04-28,Swiggy 7562,837.19,Credit
2022-03-25,Salary 1950,209.63,Debit
2022-11-23,Rent 7865,3641.17,Credit
2022-11-01,Salary 7713,3170.59,Credit
2024-02-08,Flipkart 5635,2629.74,Credit
2022-06-24,Zomato 1436,2961.44,Debit
2024-04-10,Electricity 6312,374.75,Credit
2024-03-10,Uber 8612,506.89,Credit
2024-02-17,Rent 7381,3418.04,Debit
2023-04-03,Gym 4556,888.66,Debit
2024-03-10,Swiggy 5494,4089.35,Debit
2022-12-15,Amazon 7732,2625.56,Credit
2024-04-14,Salary 5518,877.39,Debit
2023-03-19,Salary 6256,4790.53,Credit
2023-09-01,Salary 9674,3510.62,Debit
2023-08-27,Swiggy 2841,3247.02,Debit
2022-03-29,Gym 7472,925.68,Credit
2022-10-15,Rent 5835,2835.72,Debit
2024-03-24,Gym 9245,4905.11,Debit
2022-07-01,Swiggy 3478,548.19,Credit
2023-04-14,Electricity 8035,3297.6,Debit
2023-11-04,Zomato 9045,3414.34,Credit
2022-05-31,Rent 4735,2271.3,Debit
2022-03-26,Rent 9859,4024.12,Credit
2024-03-25,Salary 1482,532.85,Credit
2024-01-04,Gym 8788,2932.63,Credit
2023-05-21,Flipkart 1373,117.7,Credit
2023-08-16,Amazon 8673,3329.45,Credit
2023-09-24,Electricity 9020,642.47,Credit
2022-02-28,Gym 7922,1511.87,Debit
2022-07-28,Salary 1525,4008.01,Debit
2023-07-06,Electricity 4518,857.73,Credit
2022-12-25,Zomato 2179,481.47,Credit
2022-01-29,Flipkart 6546,4068.26,Debit
2022-05-08,Amazon 7584,2095.76,Credit
2024-05-02,Zomato 5371,1061.62,Debit
2022-12-22,Electricity 6915,2692.54,Credit
2022-02-10,Uber 3526,4542.93,Debit
2022-02-03,Rent 9595,3179.74,Credit
2022-06-02,Electricity 7275,4113.95,Credit
2023-01-13,Flipkart 9538,1555.25,Debit
2023-09-21,Salary 6425,31.82,Debit
2022-09-25,Amazon 5026,1326.09,Credit
2024-01-19,Rent 4540,2314.1,Debit
2024-03-31,Gym 1743,4065.96,Debit
2023-11-16,Amazon 9843,793.97,Debit
2023-04-21,Amazon 7010,3952.48,Credit
2023-09-26,Swiggy 2584,3014.28,Debit
2023-07-30,Flipkart 5909,794.31,Credit
2024-03-17,Rent 5068,2737.64,Debit
2023-10-26,Amazon 5449,2469.37,Debit
2024-02-01,Zomato 1315,4737.02,Credit
2022-07-20,Amazon 3842,2696.66,Credit
2023-10-03,Uber 8076,45.18,Credit
2022-08-05,Electricity 5591,2076.08,Debit
2022-01-25,Rent 2888,3044.73,Credit
2024-03-13,Swiggy 3104,4944.03,Credit
2023-05-13,Gym 9564,4810.55,Debit
2023-04-23,Zomato 7373,3360.68,Debit
2024-02-15,Gym 4193,1906.58,Credit
2023-04-30,Rent 3018,4025.25,Debit
2022-03-30,Zomato 4210,380.6,Credit
2022-12-01,Flipkart 1580,2103.54,Credit
2024-06-01,Gym 7160,237.37,Credit
2024-04-19,Swiggy 1942,1245.77,Debit
2023-04-22,Uber 4144,3960.44,Debit
2023-02-06,Zomato 9533,4783.67,Credit
2023-03-19,Uber 3665,1300.66,Credit
2022-09-30,Uber 1118,3484.46,Credit
2022-07-07,Salary 9772,2204.25,Credit
2022-12-30,Flipkart 6583,3974.47,Credit
2024-06-06,Amazon 5410,2197.22,Credit
2023-05-08,Gym 1590,2244.01,Debit
2022-11-07,Salary 2506,4611.27,Debit
2024-01-09,Amazon 4454,2484.31,Debit
2022-11-14,Amazon 1538,449.12,Debit
2023-11-28,Zomato 7060,4013.74,Credit
2023-07-31,Flipkart 2811,1426.22,Debit
2023-11-20,Flipkart 4849,3856.08,Debit
2022-11-20,Rent 2610,467.28,Debit
2022-10-20,Rent 6216,3867.98,Debit
2023-12-06,Uber 6219,4159.43,Debit
2024-06-07,Uber 6229,2030.32,Debit
2022-05-20,Uber 3001,1334.03,Credit
2024-03-15,Rent 6087,516.91,Debit
2022-11-15,Zomato 4550,3928.24,Debit
2024-05-10,Zomato 5744,1791.3,Debit
2022-08-14,Rent 4176,2501.49,Debit
2024-01-23,Salary 8477,3826.31,Debit
2024-06-06,Gym 1057,101.89,Credit
2023-11-20,Swiggy 4776,3318.0,Credit
2022-01-20,Rent 7466,1467.54,Debit
2024-01-23,Electricity 5310,4088.78,Credit
2024-06-09,Swiggy 4821,1265.82,Credit
2023-11-21,Rent 4178,2841.83,Credit
2022-03-03,Salary 5430,4092.27,Debit
2024-03-06,Amazon 6145,3458.19,Credit
2022-04-25,Zomato 5371,3475.03,Debit
2022-12-02,Swiggy 4170,2281.08,Debit
2023-07-25,Rent 3866,2303.07,Credit
2024-03-26,Flipkart 3275,1224.66,Credit
2024-02-20,Uber 2948,4843.82,Debit
2023-11-24,Amazon 4162,2875.01,Credit
2022-07-10,Electricity 1635,3383.59,Credit
2023-07-11,Zomato 6849,4638.03,Debit
2022-01-31,Amazon 2570,2821.32,Credit
2023-11-01,Amazon 8670,3010.86,Debit
2022-02-15,Flipkart 7936,1820.07,Debit
2022-04-23,Amazon 4553,507.91,Credit
2024-05-05,Electricity 6138,3569.69,Credit
2022-12-31,Gym 5670,3052.92,Debit
2022-11-22,Zomato 7111,3162.01,Debit
2023-04-12,Uber 4127,25.4,Credit
2023-03-31,Uber 2731,3910.8,Debit
2022-07-15,Flipkart 8850,4030.43,Debit
2023-04-29,Zomato 8895,1061.84,Credit
2022-07-11,Zomato 5816,4683.84,Credit
2023-04-19,Rent 6102,2652.03,Credit
2022-07-29,Salary 7981,186.95,Credit
2023-12-05,Amazon 4322,1430.78,Debit
2022-10-12,Flipkart 6409,1794.51,Debit
2024-02-02,Uber 6821,2566.47,Debit
2022-02-02,Gym 9576,2850.15,Credit
2024-05-28,Uber 1628,4856.55,Debit
2023-04-27,Salary 5678,3072.85,Credit
2023-05-04,Rent 9005,1432.24,Credit
2022-02-08,Electricity 9644,3934.21,Debit
2024-03-07,Uber 5806,569.21,Debit
2022-06-06,Swiggy 4962,1855.41,Credit
2022-03-25,Rent 8360,1081.58,Credit
2024-01-18,Gym 3164,784.61,Credit
2024-05-18,Salary 7253,357.68,Credit
2023-03-29,Flipkart 6911,3903.49,Credit
2023-01-22,Rent 3323,669.44,Debit
2024-06-10,Electricity 2753,854.82,Debit
2023-05-07,Uber 7235,1472.23,Credit
2022-07-18,Electricity 1854,3822.47,Credit
2024-06-17,Gym 3119,4678.12,Credit
2022-08-24,Electricity 7758,229.21,Credit
2024-05-01,Amazon 6864,4264.88,Credit
2023-06-05,Flipkart 2871,1818.44,Debit
2023-11-09,Salary 5154,3067.43,Debit
2023-05-16,Electricity 7894,4180.0,Credit
2022-04-27,Gym 9725,2132.98,Credit
2023-08-07,Uber 6383,3687.24,Credit
2022-03-05,Gym 9993,2763.93,Credit
2023-12-22,Flipkart 1834,4587.35,Credit
2023-05-10,Rent 8557,4772.08,Debit
2023-12-30,Zomato 7273,1180.02,Credit
2023-07-07,Rent 4406,2249.68,Credit
2024-05-14,Uber 7129,3333.72,Credit
2022-01-02,Flipkart 3237,2587.58,Debit
2024-01-15,Uber 6275,3330.34,Credit
2023-10-28,Swiggy 2732,3066.52,Credit
2022-04-13,Gym 7499,2328.27,Debit
2023-03-04,Uber 5817,3856.11,Debit
2022-11-01,Uber 1315,3881.87,Credit
2023-12-17,Uber 6742,2608.32,Credit
2023-01-18,Gym 4949,972.79,Credit
2022-01-07,Gym 9647,1452.63,Credit
2022-03-28,Zomato 8796,4324.8,Debit
2024-03-22,Flipkart 1688,3893.71,Credit
2022-04-03,Swiggy 9006,919.31,Credit
2024-05-11,Electricity 1540,3008.38,Credit
2022-01-24,Zomato 4466,2920.34,Debit
2023-02-08,Electricity 6038,1243.5,Credit
2023-05-31,Amazon 5725,2799.61,Debit
2023-06-16,Uber 8054,3876.53,Credit
2023-07-16,Zomato 4441,386.95,Debit
2023-05-27,Rent 1406,3232.52,Debit
2023-06-14,Gym 1542,1916.21,Debit
2022-01-21,Amazon 4072,128.0,Credit
2024-03-04,Zomato 2242,1627.41,Debit
2022-10-25,Salary 9020,4915.28,Credit
2024-04-16,Rent 5478,3851.32,Credit
2023-05-19,Gym 7506,3483.55,Debit
2022-05-10,Salary 5271,4931.39,Debit
2023-02-28,Rent 4647,4037.79,Debit
2024-04-23,Gym 6659,1946.28,Debit
2022-05-13,Salary 4732,428.82,Credit
2022-10-03,Zomato 7265,2790.61,Credit
2023-11-14,Rent 5700,1706.23,Debit
2024-06-04,Electricity 3395,4785.23,Debit
2022-10-11,Swiggy 4414,2059.46,Debit
2022-05-01,Salary 5154,212.97,Credit
2022-06-14,Salary 9250,4272.27,Credit
2022-11-01,Swiggy 4230,4018.53,Debit
2022-06-05,Electricity 7847,2494.13,Debit
2022-11-30,Salary 9278,3686.29,Debit
2023-10-04,Gym 6844,692.15,Credit
2022-04-29,Gym 7944,3570.48,Debit
2023-04-30,Gym 6705,4195.07,Credit
2022-02-28,Flipkart 7959,2677.42,Credit
2023-11-22,Gym 8552,3730.5,Credit
2022-10-03,Flipkart 2227,3051.34,Credit
2024-03-07,Rent 9674,748.36,Debit
2024-05-01,Zomato 4129,141.95,Debit
2022-05-31,Gym 5855,1218.04,Credit
2024-03-23,Swiggy 6917,4747.19,Credit
2024-06-10,Electricity 9050,3321.61,Debit
2022-12-24,Rent 2361,224.32,Credit
2023-05-10,Swiggy 1854,4276.88,Credit
2022-03-27,Zomato 4846,2511.41,Credit
2022-06-24,Salary 1063,708.44,Debit
2022-04-24,Zomato 1677,1505.66,Credit
2022-10-30,Rent 5953,3771.71,Credit
2024-05-30,Flipkart 7509,1093.96,Credit
2024-03-11,Swiggy 5031,3746.99,Credit
2022-02-22,Uber 5905,2287.9,Debit
2022-10-31,Zomato 5285,790.57,Credit
2022-08-08,Uber 1575,4725.94,Debit
2023-07-29,Salary 7961,4876.68,Credit
2022-01-19,Uber 8426,417.65,Debit
2023-02-01,Uber 4138,1693.54,Debit
2022-10-06,Uber 9715,2087.23,Credit
2024-04-30,Rent 3379,1754.02,Debit
2022-12-10,Flipkart 1791,3707.4,Debit
2022-05-23,Rent 2221,915.98,Credit
2024-04-21,Electricity 7996,3451.0,Debit
2024-02-16,Flipkart 6274,4030.25,Debit
2024-03-04,Salary 2208,3835.91,Debit
2022-01-12,Gym 1964,288.85,Debit
2022-10-27,Gym 2097,3503.25,Credit
2022-05-04,Amazon 3395,2704.96,Credit
2024-02-22,Amazon 6353,3462.27,Credit
2023-04-15,Swiggy 2189,4423.34,Debit
2023-01-08,Swiggy 6386,2619.07,Debit
2023-06-23,Electricity 3074,242.1,Debit
2024-01-21,Amazon 3345,975.63,Debit
2022-06-05,Gym 3775,1618.86,Debit
2023-08-12,Swiggy 1745,3627.27,Credit
2022-03-31,Rent 6032,767.03,Credit
2023-04-04,Zomato 6810,29.83,Credit
2022-09-20,Zomato 2391,3052.22,Credit
2022-06-08,Amazon 3830,1204.36,Debit
2023-03-28,Salary 5798,3589.07,Debit
2022-06-21,Salary 7476,1213.26,Debit
2022-05-21,Gym 6353,252.52,Debit
2024-06-05,Electricity 5901,4591.97,Debit
2022-01-26,Flipkart 6395,3188.28,Debit
2023-09-29,Amazon 6891,1560.16,Credit
2024-05-08,Salary 8431,248.79,Debit
2023-09-04,Uber 7110,2545.35,Debit
2022-07-21,Uber 2200,638.71,Credit
2024-03-15,Rent 8299,3403.06,Credit
2023-02-23,Flipkart 8405,1957.3,Credit
2022-06-09,Amazon 5842,1275.66,Credit
2023-05-24,Uber 9461,2473.96,Debit
2022-09-11,Flipkart 7896,4506.1,Debit
2023-08-20,Amazon 5231,3149.29,Credit
2023-01-09,Uber 9300,1041.44,Credit
2022-10-07,Uber 2122,1397.44,Credit
2023-12-01,Flipkart 4804,1770.0,Debit
2022-10-15,Salary 8408,4109.19,Debit
2022-12-19,Swiggy 6101,3288.05,Credit
2023-03-04,Salary 5084,3848.62,Debit
2022-08-18,Uber 7671,178.21,Debit
2023-12-13,Rent 8253,2361.8,Credit
2022-05-10,Rent 8819,2639.85,Credit
2022-06-21,Flipkart 7335,4676.63,Credit
2022-07-28,Amazon 8711,1924.26,Credit
2024-03-08,Rent 5962,3744.98,Debit
2022-04-26,Salary 1895,2562.16,Credit
2023-10-24,Swiggy 6309,3225.68,Credit
2023-07-02,Rent 1766,4796.67,Credit
2023-03-29,Flipkart 9622,4813.67,Credit
2023-04-22,Electricity 4757,3954.64,Debit
2023-11-01,Flipkart 2470,4832.98,Credit
2023-10-19,Gym 3814,1708.68,Debit
2022-08-25,Flipkart 7592,276.22,Debit
2022-11-17,Salary 3577,2584.56,Credit
2023-09-25,Rent 2279,2799.28,Credit
2023-02-10,Salary 9897,236.73,Debit
2023-04-01,Uber 1595,770.36,Debit
2024-03-10,Gym 8295,4166.54,Credit
2023-04-26,Amazon 6246,993.33,Debit
2023-10-25,Amazon 3888,2380.31,Credit
2024-01-19,Flipkart 6367,3552.45,Credit
2023-03-25,Amazon 8557,3593.59,Credit
2022-06-29,Salary 4782,4876.1,Credit
2022-07-15,Uber 7182,3740.31,Credit
2023-04-11,Electricity 3158,1947.66,Credit
2022-11-12,Swiggy 4723,961.31,Debit
2022-01-12,Uber 5235,921.91,Debit
2023-04-07,Rent 6050,2789.87,Debit
2024-02-27,Amazon 4042,3801.01,Credit
2024-03-03,Uber 3269,2696.47,Debit
2024-04-01,Rent 8810,2845.71,Credit
2023-01-16,Flipkart 2041,691.21,Credit
