Date,Description,Amount,Type
17-Jul-2022,Salary 2147,3657.63,credit
26-May-2023,Zomato 3786,3466.29,
01/22/2024 00:00,Salary 2760,error,
05/24/2022 00:00,Uber 1895,2145.79,
2023-09-01,Swiggy 5329,2875.59,credit
2022-07-20,Zomato 7083,939.51,Credit
05/04/2022 00:00,Uber 2404,506.04,Credit
07/06/2022 00:00,Rent 8975,2735.66,Credit
11/22/2022 00:00,Amazon 3863,error,debit
04/09/2023 00:00,Swiggy 5793,3942.48,Credit
12/15/2022 00:00,Electricity 7791,4278.32,Debit
"February 10, 2024",Gym 6816,477.83,Debit
10/22/2023 00:00,Electricity 3001,3518.2,
02/03/2024 00:00,Rent 4796,3663.81,
07-Feb-2023,Salary 9015,340.46,Credit
2022-12-12,Uber 6457,2985.63,debit
26-May-2023,Swiggy 5767,3112.52,Credit
27-May-2022,Uber 4094,2564.9₹,Debit
2022-05-28,Swiggy 7419,3452.52,Debit
13-May-2024,Flipkart 6567,1242.28,Debit
12/12/2023 00:00,Zomato 4371,1313.94,Debit
2024-03-30,Swiggy 4289,4619.93,Debit
"May 04, 2023",Gym 8552,3398.87,Debit
02-Oct-2023,Rent 8172,error,debit
07/05/2023 00:00,Gym 5835,3361.52,
2022-12-04,Amazon 4603,3743.7,
"May 21, 2024",Flipkart 3849,1518.0,credit
03-Oct-2023,Electricity 1961,2603.2,Credit
02/18/2024 00:00,Amazon 2058,582.37,Debit
18-Apr-2023,Zomato 2167,3010.09,debit
2022-05-31,Rent 4030,3442.84,credit
"February 19, 2023",Amazon 9599,3718.5₹,
25-Oct-2022,Flipkart 9015,error,
03-Sep-2023,Amazon 6313,842.2,Credit
"September 20, 2022",Uber 7510,356.5,credit
02/03/2024 00:00,Amazon 3178,4713.06,Credit
05/24/2022 00:00,Uber 6368,3246.57,Debit
2022-12-12,Salary 4800,2819.99,debit
16-Sep-2023,Rent 5991,2122.14,debit
07/26/2023 00:00,Salary 7581,2209.59,Debit
2024-05-30,Electricity 6329,1491.91,
02-Jan-2022,Flipkart 4835,3127.01,
15-Jun-2024,Flipkart 6318,86.87,credit
31-Oct-2022,Uber 3772,2725.16,credit
2022-09-11,Uber 2116,299.89,
14-Oct-2023,Uber 8528,3622.7,
"March 29, 2023",Uber 6099,4811.1,
"February 06, 2022",Gym 8337,934.15,Credit
09-Jun-2022,Electricity 2013,1379.38,Debit
09-Jan-2022,Swiggy 4874,2697.99,debit
21-Aug-2022,Electricity 5527,2454.48,Debit
04/09/2022 00:00,Rent 6405,4083.18,
21-Oct-2023,Zomato 4380,637.12,debit
03/26/2024 00:00,Uber 2311,2770.36,credit
2022-07-27,Salary 2117,4611.81,
05/11/2022 00:00,Gym 5616,3338.62,
2023-02-08,Swiggy 5002,1351.6,debit
01-Jun-2022,Flipkart 9320,322.5,Debit
23-Feb-2022,Swiggy 7687,2101.06,
04/30/2022 00:00,Salary 1019,2340.24,Debit
2023-11-04,Gym 8376,673.87,Credit
20-Sep-2023,Amazon 8683,2406.22,Credit
"August 10, 2023",Rent 3198,3386.86,debit
09/17/2023 00:00,Gym 8706,2382.89₹,
"February 24, 2023",Flipkart 9099,1140.97,debit
"February 26, 2023",Uber 8014,4792.44,credit
14-Apr-2022,Flipkart 6871,583.66,Credit
2024-05-01,Gym 7862,3045.81,
11-Sep-2022,Salary 4421,3649.04,
08/15/2022 00:00,Amazon 3969,1356.75,Credit
"April 22, 2022",Flipkart 6437,1903.92,credit
2023-05-25,Zomato 1922,2187.0,
"April 18, 2023",Electricity 7321,3238.46,credit
04/09/2022 00:00,Rent 7300,2566.43,Debit
"June 02, 2022",Uber 3720,964.23,credit
10-May-2024,Amazon 9201,4463.74,debit
2024-06-14,Amazon 6840,1828.34,Debit
05/27/2024 00:00,Swiggy 6042,1919.18,debit
04-Dec-2022,Zomato 6349,4001.32,Debit
2023-12-07,Amazon 7500,2681.95,
04/01/2024 00:00,Zomato 8049,1164.6,Credit
"June 12, 2022",Gym 5782,4573.53,Credit
12/21/2023 00:00,Gym 4028,4027.85,Credit
2023-11-12,Uber 2107,3003.72,Debit
06/10/2022 00:00,Flipkart 8311,error,credit
08/03/2023 00:00,Flipkart 3792,3380.1,Debit
2024-03-11,Rent 5648,1810.67,
02/02/2023 00:00,Flipkart 6905,3473.56,credit
2022-10-04,Amazon 1167,201.09,debit
"March 26, 2024",Gym 8088,2004.88,Debit
05/19/2023 00:00,Zomato 2316,3091.0,
14-Jun-2024,Gym 7068,3110.74,
01/27/2023 00:00,Swiggy 3314,366.16,credit
"May 15, 2022",Rent 6974,3600.93,Debit
2022-07-14,Zomato 7886,432.91,
"February 05, 2023",Uber 9200,3706.75,credit
"October 02, 2023",Uber 8260,4560.86,credit
02-Feb-2022,Amazon 7866,4876.89,credit
19-Nov-2023,Gym 5052,3021.63,Debit
05-Apr-2023,Rent 3164,3573.2,Credit
2024-06-01,Gym 7292,1176.78₹,debit
15-Apr-2023,Flipkart 6645,1878.79,Debit
01/10/2023 00:00,Amazon 9270,70.95,credit
2022-01-22,Swiggy 8579,3991.8₹,
2024-01-20,Salary 7100,3450.97,debit
2023-11-01,Electricity 2299,1297.24,Debit
07-Feb-2022,Zomato 5297,2455.62,debit
"August 18, 2022",Amazon 4215,3644.75,credit
12/31/2022 00:00,Electricity 8153,3336.03,Credit
2023-07-17,Uber 2825,1609.9,credit
"March 14, 2023",Salary 3073,1855.03,
2024-02-15,Salary 1846,779.61,Debit
10-Oct-2022,Flipkart 3158,696.77,
"January 27, 2022",Salary 2055,2030.29,
08/14/2022 00:00,Zomato 6924,2403.5,Credit
2022-10-04,Zomato 6821,4753.98,credit
"March 08, 2024",Uber 3767,error,Credit
01-Sep-2023,Zomato 6642,956.9,
2022-10-11,Salary 6642,854.48,debit
2024-05-28,Uber 5710,1732.84,
2023-04-26,Gym 3962,4594.84,Credit
"March 29, 2023",Electricity 9110,3971.33,credit
04/08/2024 00:00,Zomato 1810,2474.21,debit
03/26/2024 00:00,Uber 4068,4779.36,debit
21-Oct-2023,Swiggy 3993,1085.26,debit
05/31/2023 00:00,Electricity 7026,2178.36,Debit
01-Jul-2023,Electricity 9988,15.13,debit
"July 11, 2022",Zomato 9052,4334.72,
"February 18, 2022",Uber 7903,797.59,debit
2023-05-27,Amazon 6631,4788.92,
17-Jan-2022,Flipkart 9874,2540.86,
"June 21, 2022",Rent 6069,4969.82,
2022-08-08,Zomato 1124,2711.15₹,Debit
06/07/2022 00:00,Rent 3375,2282.66,Credit
2023-04-22,Amazon 8109,2366.04,Debit
15-Feb-2022,Zomato 2686,4180.5,
08-Jan-2023,Amazon 2900,1818.16,credit
"June 02, 2023",Electricity 2361,4268.11,Debit
2022-04-09,Swiggy 9421,4432.93,debit
"June 10, 2024",Electricity 8395,1451.34,credit
01/15/2024 00:00,Swiggy 5985,4634.9,Debit
"February 06, 2022",Gym 7742,961.2,Credit
"October 07, 2022",Gym 5917,4134.5,credit
"December 15, 2022",Uber 4875,851.94,Debit
12-May-2023,Amazon 1941,3591.41,credit
29-Oct-2022,Uber 1198,4878.33,Credit
30-Jun-2022,Flipkart 8533,389.86,
2023-08-30,Uber 2537,989.77,credit
09-Apr-2022,Uber 7176,1771.76,debit
12/01/2023 00:00,Amazon 8430,1807.03,debit
"April 26, 2022",Amazon 6962,918.92,Credit
10-Jul-2022,Swiggy 1603,2489.41,
10-Sep-2022,Salary 5807,3955.72,credit
06/10/2022 00:00,Salary 2265,4015.19,
09/13/2022 00:00,Flipkart 6592,2336.37,Debit
11/19/2022 00:00,Electricity 2610,1574.43,
05/08/2022 00:00,Electricity 7383,1215.94,Credit
01/18/2022 00:00,Uber 8766,3580.44,credit
2024-03-03,Rent 7977,435.37,
"January 05, 2024",Electricity 7960,2731.05,Credit
"July 20, 2023",Amazon 6921,2711.88,Debit
24-Jul-2023,Electricity 1621,572.74,
19-Nov-2022,Flipkart 9359,2361.39,Credit
05/21/2024 00:00,Flipkart 9259,error,credit
17-Nov-2023,Salary 9576,841.01,Debit
03/02/2024 00:00,Zomato 4626,419.39,Debit
2023-09-18,Electricity 3441,974.72,credit
2022-10-15,Swiggy 1538,3228.07,
03-May-2024,Flipkart 7845,3649.4,credit
10/25/2023 00:00,Swiggy 3488,1150.45₹,debit
10/01/2023 00:00,Zomato 9037,2873.05,debit
"June 04, 2022",Gym 3145,1864.27,
2023-05-05,Rent 1598,error,Credit
2023-01-21,Rent 3456,1238.52,Credit
02/24/2024 00:00,Amazon 1957,239.23₹,debit
04/14/2022 00:00,Flipkart 1712,1640.97,Credit
01/28/2023 00:00,Gym 7460,811.8,
2024-03-21,Rent 1638,3674.0,
"September 03, 2022",Flipkart 4275,3654.62,
25-Jun-2022,Amazon 3243,372.89,Debit
08-Feb-2022,Zomato 6389,1989.69,debit
04/22/2023 00:00,Swiggy 8146,473.38,Credit
2023-11-13,Zomato 8536,3577.05,Debit
29-Jan-2024,Rent 2614,101.55,Credit
22-Jun-2023,Flipkart 4398,2195.73,debit
05/16/2024 00:00,Uber 7762,770.59,
03/28/2024 00:00,Flipkart 7789,3327.69,Credit
02/12/2023 00:00,Zomato 9764,1077.66,Debit
09-Jun-2023,Rent 4512,2039.27,Credit
07-Apr-2024,Swiggy 8326,35.29,credit
"May 21, 2023",Gym 2991,4944.69,Credit
04-Apr-2024,Flipkart 9529,3772.93,Debit
"February 05, 2022",Gym 3870,830.38,Debit
16-Nov-2023,Electricity 2630,2224.32,Debit
2022-01-20,Uber 7007,2496.25,Debit
2022-11-17,Salary 7543,1137.62,Debit
15-Feb-2024,Rent 4222,433.95,
2023-05-27,Amazon 4193,2851.65,debit
04-Feb-2023,Swiggy 4124,4177.23,debit
16-Oct-2023,Rent 8763,2863.34,Debit
06/01/2024 00:00,Flipkart 7746,3157.55,Debit
16-Apr-2023,Gym 5411,2957.88,Credit
"May 23, 2022",Gym 7783,2287.68,Credit
02-Apr-2022,Flipkart 8371,745.01,
2022-12-20,Uber 8206,1019.81,
13-Apr-2024,Uber 2177,error,Credit
2024-03-10,Electricity 4370,1477.62,Debit
12/28/2023 00:00,Uber 4668,2612.76,credit
03-May-2024,Zomato 8571,2109.86,
"February 20, 2022",Flipkart 8076,3188.05,Debit
"October 27, 2023",Salary 4163,4203.25,
2023-11-29,Flipkart 5307,255.06,debit
"July 29, 2023",Zomato 3738,2317.41,Credit
07/09/2022 00:00,Gym 2469,1086.08,
"May 05, 2022",Electricity 6897,4552.03,debit
"May 30, 2022",Gym 7735,2726.81,Debit
2022-11-10,Swiggy 5188,4422.09,debit
2023-07-24,Gym 2194,3354.94,debit
"December 08, 2022",Electricity 3280,684.97,Debit
01-Nov-2022,Gym 7551,4235.43,debit
11/23/2023 00:00,Rent 7805,1594.06,Credit
2023-11-13,Amazon 3601,3720.35,debit
17-Apr-2024,Zomato 5989,2547.25,
2024-02-22,Amazon 6939,3653.69,Debit
02/23/2022 00:00,Electricity 3188,2642.52,Debit
03/20/2023 00:00,Uber 3739,4640.47,Debit
09/05/2023 00:00,Rent 6890,2555.52,credit
"September 21, 2022",Electricity 7842,312.92,Credit
02/22/2022 00:00,Salary 4285,2266.63,credit
26-Jul-2023,Uber 7907,4837.63,Credit
"September 12, 2023",Salary 4535,3950.1,Debit
01/05/2022 00:00,Uber 1389,3161.41,
2022-04-13,Uber 2635,764.99,credit
15-Jul-2022,Rent 4688,923.96,credit
"February 13, 2024",Electricity 7603,3614.53,
26-May-2024,Zomato 3736,error,Credit
02-Jun-2024,Salary 8566,1873.02,debit
12/16/2022 00:00,Gym 8949,4972.64,Debit
"February 16, 2022",Flipkart 9653,3460.39,Credit
05/16/2024 00:00,Salary 5394,4473.52,debit
"April 02, 2024",Uber 3214,241.11,credit
2024-03-30,Flipkart 4654,3121.65,
18-Oct-2023,Amazon 6692,3750.17,credit
2022-09-26,Swiggy 3365,3988.76,Credit
01/05/2023 00:00,Uber 1087,3365.29,debit
09/28/2023 00:00,Uber 9100,3033.57,
16-Apr-2022,Gym 2996,3733.16,debit
11/01/2023 00:00,Uber 3557,202.27,
2023-10-21,Electricity 3072,3759.17₹,credit
19-Oct-2023,Flipkart 3436,1654.71,debit
2022-04-30,Rent 7597,3807.54₹,Debit
2024-04-10,Uber 5023,3887.62,credit
"February 26, 2024",Swiggy 3930,1390.16,Credit
2023-08-27,Salary 9585,3578.74,debit
27-Feb-2022,Zomato 3751,1651.37,debit
"December 12, 2022",Swiggy 3471,3626.56,debit
"January 11, 2024",Gym 1674,957.42,Credit
19-Apr-2023,Electricity 9062,397.58,
2022-04-27,Gym 2094,2945.3,debit
2024-04-09,Swiggy 8721,973.45,Debit
"March 01, 2024",Zomato 4821,4474.29,debit
"May 07, 2022",Gym 6678,799.88,debit
28-Jan-2023,Gym 2397,3039.2,credit
10/03/2023 00:00,Salary 7060,3489.01,Debit
2022-02-27,Rent 5581,22.64,debit
"September 26, 2023",Electricity 9872,4348.87,debit
05/28/2023 00:00,Amazon 9251,3636.25,Credit
"January 21, 2024",Uber 9603,3849.9,
12-Mar-2024,Swiggy 6727,291.0,Credit
"April 06, 2022",Swiggy 6890,1766.95,Debit
2023-09-30,Amazon 8205,3215.08,credit
"April 28, 2022",Rent 2298,1152.31,credit
14-Jul-2023,Salary 5947,4161.53,Credit
24-Aug-2023,Swiggy 8337,2047.35,debit
2023-05-03,Zomato 8843,4007.42,Credit
"August 25, 2022",Amazon 1700,4381.95,debit
